목적구,행정동,콜택시_목적지_건수,병원,보건소,보건지소,상급종합병원,요양병원,의원,정신병원,종합병원,한의원,P1_의료기관_합계,P2_의료기관_합계,의료기관_총수,병원급_총수(의원/한의원제외),병상보고기관수,중환자실병상수,격리병실병상수,총병상수,그룹1_총수,그룹2_총수,의사수_총합,기관당_평균의사수
용산구,한강로동,3781,0,0,0,0,0,51,0,0,16,51,16,67,0,0.0,0.0,0.0,0.0,0,0,0.0,
용산구,한남동,2713,0,0,0,0,0,21,0,1,5,22,5,27,1,1.0,68.0,4.0,72.0,0,1,348.0,348.0
용산구,효창동,2020,0,0,0,0,0,7,0,0,3,7,3,10,0,0.0,0.0,0.0,0.0,0,0,0.0,
용산구,후암동,1530,0,0,0,0,0,6,0,0,6,6,6,12,0,0.0,0.0,0.0,0.0,0,0,0.0,
은평구,갈현1동,863,0,0,0,0,1,27,0,1,7,29,7,36,2,1.0,6.0,13.0,19.0,0,2,32.0,16.0
은평구,갈현2동,3082,1,0,0,0,0,14,0,0,4,15,4,19,1,0.0,0.0,0.0,0.0,0,1,14.0,14.0
은평구,구산동,11126,1,0,1,0,1,13,0,0,5,15,6,21,3,0.0,0.0,0.0,0.0,1,2,12.0,4.0
은평구,녹번동,5087,2,1,0,0,1,12,0,0,11,15,12,27,4,1.0,0.0,2.0,2.0,1,3,24.0,6.0
은평구,대조동,2751,2,0,0,0,0,60,0,0,21,62,21,83,2,0.0,0.0,0.0,0.0,0,2,13.0,6.5
은평구,불광1동,3083,1,0,0,0,1,39,0,0,17,41,17,58,2,0.0,0.0,0.0,0.0,0,2,11.0,5.5
은평구,불광2동,1325,0,0,1,0,0,12,0,0,10,12,11,23,1,0.0,0.0,0.0,0.0,1,0,1.0,1.0
은평구,수색동,2865,0,0,0,0,0,7,0,0,2,7,2,9,0,0.0,0.0,0.0,0.0,0,0,0.0,
은평구,신사1동,4200,0,0,0,0,0,19,0,0,8,19,8,27,0,0.0,0.0,0.0,0.0,0,0,0.0,
은평구,신사2동,1825,0,0,0,0,0,7,0,0,3,7,3,10,0,0.0,0.0,0.0,0.0,0,0,0.0,
은평구,역촌동,13003,2,0,0,0,0,19,0,0,16,21,16,37,2,1.0,0.0,61.0,61.0,0,2,27.0,13.5
